Id,SalePrice
1461,116494.24193576016
1462,163665.78970308395
1463,172937.20829555497
1464,185684.07576672558
1465,190056.9519960508
1466,161605.61959358968
1467,168921.7524318358
1468,152374.5738249706
1469,187309.55058121416
1470,116805.03043240683
1471,186639.67479675176
1472,93173.01689642812
1473,90381.75910507332
1474,140437.19775345852
1475,112132.05563865902
1476,342898.14402370097
1477,248745.12925029307
1478,285495.1164928739
1479,275689.6387034114
1480,437317.445921735
1481,312009.9129286335
1482,215617.82460054386
1483,173581.45239827683
1484,163760.13746319278
1485,179525.72474132897
1486,189832.87893579112
1487,318160.08304766624
1488,228479.22366057066
1489,196905.3918597292
1490,214926.71480309975
1491,187473.78929770648
1492,92801.38167803304
1493,165113.71248142963
1494,274178.8340830403
1495,274682.3285760174
1496,218846.4205793738
1497,181570.7740001311
1498,173413.4453972772
1499,154832.37878578182
1500,149582.27488923544
1501,162304.9244379463
1502,146847.9382471742
1503,277871.9714598024
1504,236894.44334782564
1505,223283.17172438747
1506,191799.22749040028
1507,227672.15376765493
1508,191224.5543400687
1509,151719.58432439968
1510,144566.10466660984
1511,156873.30230180643
1512,159995.33237968653
1513,144001.07390618284
1514,139809.9891412972
1515,173723.69290128062
1516,148896.75408039175
1517,165485.70164665897
1518,129907.72223641544
1519,200685.2409995143
1520,126218.18537674578
1521,130024.24369115788
1522,166710.51352701738
1523,107702.8694448192
1524,118089.18555219022
1525,115883.01308294912
1526,109548.59293108007
1527,104246.57729751605
1528,128272.49844095642
1529,146344.0103592045
1530,180927.73891294803
1531,115538.6586120265
1532,98656.26796040358
1533,153406.18307633654
1534,118543.32943960164
1535,134032.6396086056
1536,102195.01506823019
1537,63488.86435837833
1538,155304.23191713737
1539,213504.47800445737
1540,89822.1173263992
1541,143649.48187226147
1542,136876.79022859948
1543,193848.96685268375
1544,85547.77178306207
1545,112114.70951950214
1546,138719.08384014101
1547,128239.26689168786
1548,144235.04851369464
1549,129690.22426040226
1550,132421.23159504944
1551,103083.81945960631
1552,140308.0188281891
1553,150913.32863757564
1554,113941.58892865517
1555,158835.32092604076
1556,91390.43415195763
1557,107390.97624827802
1558,100216.91895882851
1559,67692.43788970915
1560,132486.1725256056
1561,119908.81709363188
1562,124074.34937681118
1563,118625.7710060438
1564,158854.01554491426
1565,141226.17953794706
1566,252424.11642173422
